,ws_nazwa_pilkarza,ws_klub,ws_wiek,ws_pozycja1,ws_pozycja2,ws_pozycja3,ws_wystepy,ws_minuty,ws_bramki,ws_asysty,ws_zolte_kartki,ws_czerwone_kartki,ws_strzaly_na_mecz,ws_skutecznosc_podan,ws_wygrane_pojedynki_na_mecz,ws_MotM,ws_srednia_ocena
1816,Dan-Axel Zagadou,Stuttgart, 23, D(CL),,,5(1),441,-,-,1,-,1,84,1.3,-,6.32
1817,Daley Sinkgraven,Leverkusen, 27, D(L),M(CL),,2(3),176,-,1,-,-,0.6,71.2,0.2,-,6.32
1818,Nikola Soldo,FC Koln, 21, Defender,,,4(1),412,-,-,1,-,1.2,78.1,1.2,-,6.32
1819,Iago,Augsburg, 25, D(L),M(L),,13,1093,-,1,2,1,0.5,63.1,0.5,-,6.32
1820,Keven Schlotterbeck,Freiburg, 25, D(C),,,0(2),12,-,-,-,-,-,100,1,-,6.32
1821,Angelo Stiller,Hoffenheim, 21, DMC,,,1(9),235,-,1,-,-,0.2,79.3,0.6,-,6.31
1822,Pavel Kaderábek,Hoffenheim, 30, D(R),M(LR),,5(8),596,1,-,-,-,0.2,70,0.5,-,6.31
1823,Pascal Stenzel,Stuttgart, 26, D(CR),M(R),,2(7),224,-,1,-,-,0.2,77.2,-,-,6.31
1824,Kevin Kampl,RBL, 32, M(CLR),,,9(6),722,-,-,4,-,0.3,91.2,0.2,-,6.31
1825,Davie Selke,Hertha Berlin, 28, FW,,,3(10),276,1,1,1,-,0.5,62.1,1.7,-,6.31
1826,Amadou Haidara,RBL, 24, M(CLR),,,4(9),465,1,1,2,-,0.8,83,0.4,-,6.31
1827,Florian Dietz,FC Koln, 24, Forward,,,4(7),394,1,-,1,-,1.5,55.1,2.2,-,6.30
1828,Jordi Osei-Tutu,Bochum, 24, D(R),M(LR),,5(8),495,-,-,1,-,0.7,75,0.2,-,6.30
1829,Sebastian Polter,Schalke, 31, AM(R),FW,,4(10),458,1,2,2,-,0.4,56.9,1.9,-,6.30
1830,Filip Uremovic,Hertha Berlin, 25, D(CR),,,7,558,-,-,2,1,0.3,81.6,2.7,-,6.30
1831,Sven Michel,Union Berlin, 32, AM(L),FW,,0(11),220,3,-,2,-,0.5,62.2,1.2,-,6.30
1832,Max Kruse,Wolfsburg, 34, M(CLR),FW,,2(3),270,-,-,-,-,1.8,76.6,1.2,-,6.30
1833,Sebastian Rudy,Hoffenheim, 32, D(R),M(CR),,1(9),243,-,1,-,-,-,80.3,-,-,6.29
1834,Mitchel Bakker,Leverkusen, 22, D(L),M(L),,9(4),765,1,1,1,1,0.5,76.8,0.5,-,6.29
1835,Paulinho,Leverkusen, 22, AM(CLR),,,1(3),80,1,-,-,-,0.5,82.1,0.3,-,6.28
1836,Thorgan Hazard,Borussia Dortmund, 29, M(CLR),FW,,2(12),455,-,-,1,-,0.6,80,0.3,-,6.28
1837,Enzo Millot,Stuttgart, 20, Midfielder,,,3(8),350,-,-,2,-,0.5,84.1,0.2,-,6.27
1838,Darko Churlinov,Stuttgart, 22, M(LR),,,0(1),26,-,-,-,-,-,-,-,-,6.27
1839,Angelo Fulgini,Mainz, 26, AM(CLR),FW,,5(9),490,-,1,-,-,0.4,82.3,0.3,-,6.27
1840,Yannik Keitel,Freiburg, 22, DMC,,,4(7),345,-,1,2,-,-,83.1,0.5,-,6.27
1841,Emre Can,Borussia Dortmund, 29, D(CLR),DMC,,3(7),394,-,-,4,-,0.3,88.8,0.5,-,6.26
1842,Almamy Touré,Eintracht Frankfurt, 26, D(CR),M(R),,2(1),164,-,-,-,-,0.3,80.6,1.3,-,6.26
1843,Marvin Schwäbe,FC Koln, 27, GK,,,15,1350,-,-,-,-,-,79.4,0.1,1,6.26
1844,Erhan Masovic,Bochum, 24, D(C),,,7(5),719,-,-,-,-,0.1,83.6,1.2,-,6.25
1845,Oliver Burke,Werder Bremen, 25, AM(LR),FW,,1(13),242,2,-,-,-,0.6,72.2,0.5,-,6.25
1846,Jacek Góralski,Bochum, 30, DMC,,,2(1),143,-,-,-,-,-,78.4,-,-,6.25
1847,Lucas Alario,Eintracht Frankfurt, 30, FW,,,2(8),234,1,-,-,-,0.8,70.9,0.8,-,6.25
1848,Sardar Azmoun,Leverkusen, 28, AM(C),FW,,2(6),277,-,-,1,-,1.4,58.9,1.3,-,6.25
1849,Luca Kilian,FC Koln, 23, D(C),,,13,1099,1,-,1,2,0.3,86.2,1.7,-,6.24
1850,Josip Stanisic,Bayern, 22, D(R),,,0(6),143,-,-,-,-,-,92.4,0.2,-,6.24
1851,Jens Stage,Werder Bremen, 26, M(C),,,6(8),560,-,1,-,-,0.3,62.1,0.6,-,6.24
1852,Daniel Caligiuri,Augsburg, 35, D(R),M(CLR),FW,2(8),255,1,-,1,-,0.5,62.8,0.2,-,6.24
1853,Lilian Egloff,Stuttgart, 20, Midfielder,,,2(7),231,-,-,1,-,0.9,62.3,0.1,-,6.23
1854,Aymen Barkok,Mainz, 24, AM(CR),,,0(6),77,-,-,-,-,0.2,77.1,0.5,-,6.23
1855,Kilian Fischer,Wolfsburg, 22, D(R),,,1(2),112,-,-,1,-,-,75.6,0.3,-,6.23
1856,Kingsley Schindler,FC Koln, 29, D(R),M(R),FW,3(11),480,-,-,3,-,-,66.3,0.9,-,6.22
1857,Rafael Borré,Eintracht Frankfurt, 27, FW,,,4(10),400,1,1,-,-,0.7,74.8,0.3,-,6.22
1858,Vasilios Lampropoulos,Bochum, 32, D(C),,,5(4),475,-,-,1,-,0.4,67.4,1,-,6.22
1859,Fabio Chiarodia,Werder Bremen, 17, Defender,,,0(1),2,-,-,-,-,-,50,1,-,6.22
1860,Luca Pfeiffer,Stuttgart, 26, FW,,,4(7),404,-,-,1,1,0.8,61.5,2,-,6.22
1861,Julian Baumgartlinger,Augsburg, 35, DMC,,,2(4),259,-,-,-,-,0.3,81.4,0.7,-,6.22
1862,Ondrej Duda,FC Koln, 28, AM(C),FW,,9(4),694,-,-,4,-,0.9,77.3,0.4,-,6.21
1863,Márton Dárdai,Hertha Berlin, 20, D(C),,,1(6),177,-,-,1,-,0.1,55.7,0.6,-,6.21
1864,Luca Netz,Borussia M.Gladbach, 19, D(L),M(L),,1(6),139,-,-,-,-,-,69.8,0.1,-,6.20
1865,Kevin Paredes,Wolfsburg, 19, M(L),,,1(6),174,-,-,-,-,0.1,77.1,0.3,-,6.20
1866,Hugo Siquet,Freiburg, 20, D(R),M(R),,0(2),15,-,-,-,-,-,80,0.5,-,6.20
1867,Tony Jantschke,Borussia M.Gladbach, 32, D(CR),DMC,,1(3),87,-,-,-,-,-,89.1,1,-,6.19
1868,Ryan Gravenberch,Bayern, 20, DMC,,,0(10),175,-,-,1,-,0.6,85.9,-,-,6.19
1869,Arne Maier,Augsburg, 24, M(C),,,6(5),530,-,-,-,-,0.8,75.8,0.4,-,6.19
1870,Jacob Bruun Larsen,Hoffenheim, 24, AM(CL),FW,,3(8),290,1,-,-,-,0.5,75,0.2,-,6.19
1871,Maximilian Philipp,Wolfsburg, 28, AM(CLR),FW,,1(2),115,-,-,-,-,0.3,76.5,0.3,-,6.19
1872,Silvère Ganvoula,Bochum, 26, FW,,,0(9),146,-,-,1,-,0.8,58.3,1.4,-,6.19
1873,Niklas Tauer,Mainz, 21, Midfielder,,,0(3),92,-,-,-,-,0.3,88.9,0.7,-,6.19
1874,Noah Weißhaupt,Freiburg, 21, Forward,,,0(8),106,-,-,-,-,0.1,59.1,0.4,-,6.18
1875,Mehmet Can Aydin,Schalke, 20, M(R),,,1(6),206,-,-,-,-,0.4,66.1,0.7,-,6.18
1876,Nikolas Nartey,Stuttgart, 22, M(CL),,,0(2),47,-,-,-,-,0.5,79.2,0.5,-,6.18
1877,Manuel Gulde,Freiburg, 31, D(C),,,1(2),80,-,-,-,-,-,82.6,0.3,-,6.18
1878,Jordan Larsson,Schalke, 25, AM(CR),FW,,3(6),336,-,-,-,-,1,74.4,0.7,-,6.17
1879,Antonios Papadopoulos,Borussia Dortmund, 23, Midfielder,,,0(1),12,-,-,-,-,1,89.5,1,-,6.17
1880,Kingsley Ehizibue,FC Koln, 27, D(R),M(R),,1,62,-,-,-,-,1,57.9,1,-,6.17
1881,Milos Pantovic,Union Berlin, 26, AM(CLR),,,0(8),169,1,-,1,-,0.8,69,0.6,-,6.17
1882,Josha Vagnoman,Stuttgart, 22, D(LR),M(R),,6(2),508,-,-,-,1,0.8,76.6,1.1,-,6.16
1883,Eduardo Quaresma,Hoffenheim, 20, D(C),,,1(3),86,-,-,-,-,-,88.1,0.3,-,6.16
1884,Mathias Olesen,FC Koln, 21, Midfielder,,,2(2),98,-,-,-,-,-,73.9,0.3,-,6.15
1885,Levin Öztunali,Union Berlin, 26, M(CLR),,,0(1),6,-,-,-,-,-,-,-,-,6.15
1886,Timothy Fosu-Mensah,Leverkusen, 25, D(CR),,,1(6),110,-,-,1,-,0.3,80,0.3,-,6.15
1887,Hannes Wolf,Borussia M.Gladbach, 23, M(CLR),,,0(4),51,-,-,-,-,-,71.4,-,-,6.15
1888,Takuma Asano,Bochum, 28, AM(CLR),FW,,6,403,-,-,-,-,1.3,78,0.8,-,6.14
1889,Diadié Samassékou,Hoffenheim, 27, DMC,,,1(1),34,-,-,1,-,-,85,-,-,6.14
1890,Yvandro Borges Sanches,Borussia M.Gladbach, 18, M(L),,,0(3),25,-,-,-,-,0.3,100,-,-,6.13
1891,Nathan Ngoumou,Borussia M.Gladbach, 22, Midfielder,,,1(7),172,-,-,-,-,0.1,75.6,0.1,-,6.12
1892,Kenan Karaman,Schalke, 28, AM(CLR),FW,,4(5),358,-,-,2,-,1.3,68.5,1.3,-,6.12
1893,Florent Mollet,Schalke, 31, AM(CLR),,,4(5),408,1,-,1,-,1.2,78,0.1,-,6.11
1894,Faride Alidou,Eintracht Frankfurt, 21, AM(L),,,0(8),117,-,-,-,-,0.3,80,0.1,-,6.11
1895,Timothée Kolodziejczak,Schalke, 31, D(CL),M(L),,0(1),25,-,-,-,-,-,84.6,-,-,6.11
1896,Muhammed Damar,Hoffenheim, 18, Midfielder,,,1(3),127,-,-,-,-,0.3,83.3,0.5,-,6.11
1897,Nils Petersen,Freiburg, 34, FW,,,0(12),151,-,-,-,-,0.3,52.9,0.3,-,6.11
1898,Patrick Osterhage,Bochum, 22, M(C),,,3(7),337,-,-,-,-,0.2,66.9,0.4,-,6.10
1899,Aster Vranckx,Wolfsburg, 20, M(C),,,0(1),7,-,-,-,-,-,66.7,-,-,6.10
1900,Danny Latza,Schalke, 33, M(C),,,1(8),178,-,-,1,-,0.2,75.9,0.4,-,6.10
1901,Juan Perea,Stuttgart, 22, Forward,,,0(8),106,-,-,-,-,-,84.2,0.1,-,6.09
1902,Ricardo Pepi,Augsburg, 20, FW,,,1(3),95,-,-,-,-,0.3,66.7,0.8,-,6.09
1903,Tim Lemperle,FC Koln, 20, Forward,,,0(3),31,-,-,-,-,0.3,62.5,-,-,6.09
1904,Tobias Sippel,Borussia M.Gladbach, 34, GK,,,3,270,-,-,1,-,-,62.5,0.7,-,6.08
1905,Peter Pekarík,Hertha Berlin, 36, D(LR),M(R),,0(1),7,-,-,-,-,-,100,-,-,6.08
1906,Sidi Sané,Schalke, 19, Forward,,,0(1),24,-,-,-,-,-,100,-,-,6.08
1907,Yussuf Poulsen,RBL, 28, AM(R),FW,,1(6),127,-,-,-,-,0.1,39.4,1.1,-,6.08
1908,Delano Burgzorg,Mainz, 24, AM(L),,,0(10),204,-,1,2,-,0.4,78.9,-,-,6.07
1909,Laurin Ulrich,Stuttgart, 17, Midfielder,,,0(1),5,-,-,-,-,-,100,-,-,6.07
1910,Marlon Mustapha,Mainz, 21, Forward,,,0(5),66,-,-,1,-,0.4,50,0.2,-,6.07
1911,Tim Skarke,Union Berlin, 26, AM(CLR),,,0(3),51,-,-,1,-,1.3,70.8,-,-,6.06
1912,Andrey Lunev,Leverkusen, 31, GK,,,1,90,-,-,-,-,-,75.7,-,-,6.06
1913,Mark Uth,FC Koln, 31, AM(CR),FW,,1(3),45,-,-,2,-,0.3,84.6,0.3,-,6.06
1914,Eren Dinkçi,Werder Bremen, 21, AM(R),,,0(3),48,-,-,-,-,0.3,52.6,0.7,-,6.06
1915,Luca Waldschmidt,Wolfsburg, 26, AM(CLR),FW,,3(4),277,-,-,-,-,0.3,75.7,0.1,-,6.05
1916,Saidy Janko,Bochum, 27, D(R),M(R),,2(5),260,-,-,1,-,-,79.6,0.6,-,6.05
1917,Nicolai Rapp,Werder Bremen, 26, D(C),DMC,,0(7),67,-,-,-,-,0.1,80.7,0.1,-,6.04
1918,Robert Wagner,Freiburg, 19, Midfielder,,,0(1),7,-,-,-,-,-,100,-,-,6.04
1919,Vladimír Darida,Hertha Berlin, 32, M(CLR),FW,,0(3),29,-,-,-,-,-,66.7,-,-,6.03
1920,Lennart Grill,Union Berlin, 23, GK,,,4,360,-,-,-,-,-,65.1,0.5,1,6.03
1921,Timothy Chandler,Eintracht Frankfurt, 32, D(R),M(LR),,0(4),78,-,-,-,-,-,61.8,0.3,-,6.03
1922,Fisnik Asllani,Hoffenheim, 20, Forward,,,0(3),40,-,-,-,-,0.7,53.8,-,-,6.02
1923,Jérôme Roussillon,Wolfsburg, 30, D(L),M(L),,0(4),19,-,-,-,-,-,50,0.3,-,6.01
1924,Marco Pasalic,Borussia Dortmund, 22, Midfielder,,,0(1),10,-,-,-,-,1,100,-,-,6.01
1925,Patrick Herrmann,Borussia M.Gladbach, 31, M(LR),FW,,0(13),107,1,-,2,-,0.5,70,0.1,-,6.01
1926,Kerim Çalhanoglu,Schalke, 20, D(L),M(L),,0(3),60,-,-,-,-,0.3,69.2,0.3,-,6.01
1927,Ayman Azhil,Leverkusen, 21, DMC,,,0(1),1,-,-,-,-,-,-,-,-,6.00
1928,Finn Becker,Hoffenheim, 22, M(C),,,0(1),2,-,-,-,-,-,-,-,-,6.00
1929,Joshua Quarshie,Hoffenheim, 18, Defender,,,0(1),1,-,-,-,-,-,-,-,-,6.00
1930,Nelson Weiper,Mainz, 17, Forward,,,0(1),4,-,-,-,-,-,100,-,-,6.00
1931,Rocco Reitz,Borussia M.Gladbach, 20, M(C),,,0(1),2,-,-,-,-,-,100,-,-,6.00
1932,Sanoussy Ba,RBL, 19, Defender,,,0(1),1,-,-,-,-,-,-,-,-,6.00
1933,Lucas Höler,Freiburg, 28, AM(CLR),FW,,0(7),96,-,-,-,-,0.1,58.1,0.1,-,6.00
1934,Lukas Petkov,Augsburg, 22, Forward,,,0(7),140,-,-,1,-,0.3,51.5,0.7,-,5.99
1935,Stefan Lainer,Borussia M.Gladbach, 30, D(R),M(R),,0(4),28,-,-,-,-,-,70,-,-,5.99
1936,Karim Bellarabi,Leverkusen, 32, M(CLR),FW,,1(1),49,-,-,-,-,-,53.8,-,-,5.99
1937,Marcel Wenig,Eintracht Frankfurt, 18, Midfielder,,,0(1),3,-,-,-,-,-,90,-,-,5.98
1938,Tom Bischof,Hoffenheim, 17, Midfielder,,,0(1),14,-,-,-,-,-,75,-,-,5.97
1939,Kevin-Prince Boateng,Hertha Berlin, 35, M(CLR),FW,,1(6),103,-,-,-,-,-,80.7,0.1,-,5.96
